ServerName,FieldName,CurrentValue,ProposedValue
ah57ndclw00112,Purpose,,TMED Web Server
ah57ndclw00112,Supportgroup,,MMIS Support SOA - SOA
ah57ndclx00002,System,,OEM
ah57ndclx00002,Purpose,,Oracle Enterprise Manager
ah57ndclx00002,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclx00004,System,,Oracle Enterprise Manager (OEM)
ah57ndclx00004,Purpose,,Oracle Enterprise Manager - OS patching can restart without app admin assistance.
ah57ndclx00004,Supportgroup,,MMIS Support INF DBA
ah57ndclx00005,System,,Oracle Enterprise Manager (OEM)
ah57ndclx00005,Purpose,,Oracle Enterprise Manager - OS patching can restart without app admin assistance.
ah57ndclx00005,Supportgroup,,MMIS Support INF DBA
ah57ndcpa00003,System,,PAM
ah57ndcpa00003,Purpose,,PAM Appliance
ah57ndcpa00003,Supportgroup,,PAM SW Admin
ah57ndcpa00004,System,,PAM
ah57ndcpa00004,Purpose,,PAM Appliance
ah57ndcpa00004,Supportgroup,,PAM SW Admin
ah57ndcpa00005,System,,PAM
ah57ndcpa00005,Purpose,,PAM Debian appliance
ah57ndcpa00005,Supportgroup,,UNIX OS ADMIN
ah57ndcpi00005-c,System,,SOA Stage
ah57ndcpi00005-c,Purpose,,Datapower
ah57ndcpi00005-c,Supportgroup,,MMIS Support SOA - SOA
ah57ndcpi00006-c,System,,SOA Stage
ah57ndcpi00006-c,Purpose,,Datapower
ah57ndcpi00006-c,Supportgroup,,MMIS Support SOA - SOA
ah57ndcub04001,System,,T7 Database Host
ah57ndcub04001,Purpose,,Oracle Database Zone - MMIS -  OEMN
ah57ndcub04001,Supportgroup,,MMIS Support INF DBA
ah57ndcub04002,System,,T7 Database
ah57ndcub04002,Purpose,,Oracle Database Zone
ah57ndcub04002,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04003,System,,T7 Database
ah57ndcub04003,Purpose,,"Oracle Database Zone

8:31 AM 4/1/2025 Retired per Chad Williams - Anthony Bronsdon"
ah57ndcub04003,Supportgroup,,MMIS Support INF DBA
ah57ndcub04004,System,,T7 Database
ah57ndcub04004,Purpose,,Oracle Database Zone
ah57ndcub04004,Supportgroup,,MMIS Support INF DBA
ah57ndcub04005,System,,T7 Database
ah57ndcub04005,Purpose,,Oracle Database Zone
ah57ndcub04005,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04006,System,,T7 Database
ah57ndcub04006,Purpose,,Oracle Database Zone
ah57ndcub04006,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndcub04007,System,,SIEBEL
ah57ndcub04007,Purpose,,"Oracle Database - Siebel - Non-Prod - SBLSBX20, SBLDEV20, SBLUAT20, SBLSTG20"
ah57ndcub04007,Supportgroup,,MMIS Support INF DBA
ah57ndcub04008,System,,T-7 Database Host
ah57ndcub04008,Purpose,,Oracle Database - CMOD/FileNet - RMAN restore CMOD/FileNet databases in case of DR
ah57ndcub04008,Supportgroup,,MMIS Support INF DBA
ah57ndcub04009,System,,T7 Database Host
ah57ndcub04009,Purpose,,"Oracle Database Zone - MMIS - T20HISM1, T20MISM1"
ah57ndcub04009,Supportgroup,,MMIS Support INF DBA
ah57ndcub04010,System,,T7 Database Host
ah57ndcub04010,Purpose,,"Oracle Database Zone - MMIS - T21HISM1, T21MISM1"
ah57ndcub04010,Supportgroup,,MMIS Support INF DBA
ah57ndcub04011,System,,T7 Database Host
ah57ndcub04011,Purpose,,"Oracle Database Zone - MMIS - T22HISM1, T22MISM1"
ah57ndcub04011,Supportgroup,,MMIS Support INF DBA
ah57ndcub04012,System,,T7 Database Host
ah57ndcub04012,Purpose,,"Oracle Database Zone - MMIS - T23HISM1, T23MARM1,  T23MISM1, T23SURM1"
ah57ndcub04012,Supportgroup,,MMIS Support INF DBA
ah57ndcub04013,System,,T7 Database Host
ah57ndcub04013,Purpose,,"Oracle Database Zone - MMIS - T24HISM1, T24MARM1,  T24MISM1, T24SURM1"
ah57ndcub04013,Supportgroup,,MMIS Support INF DBA
ah57ndcub04014,System,,T7 Database Host
ah57ndcub04014,Purpose,,"Oracle Database Zone - MMIS - T20HISA1, T20MISA1"
ah57ndcub04014,Supportgroup,,MMIS Support INF DBA
ah57ndcub04015,System,,T7 Database Host
ah57ndcub04015,Purpose,,"Oracle Database Zone - MMIS - T21HISA1, T21MISA1"
